SessionN,Session,Monkey,NS_after_NC,NS_after_NS,NC_after_C,Error_hi,Error_lo,Stop_hi,Stop_lo
82,jou-cmand1DR-20210503,joule,312.151625265483,305.618105610145,318.574169809504,1.03194916770426,0.978846849082883,1.09232843498111,1.03176394507606
83,jou-cmand1DR-20210505,joule,306.11803231995,307.85729121236,313.255308343352,0.984832839075338,1.0139279567975,1.08161877916217,1.0044849307725
84,jou-cmand1DR-20210508,joule,303.605692230002,297.521420335963,295.823201300606,1.01369018782425,0.951951254670241,0.957452886432938,0.95223300564215
85,jou-cmand1DR-20210510,joule,324.209090345395,308.605744015603,306.889601500638,1.07462601004039,1.02541555043967,1.05347417227095,0.96872273107308
86,jou-cmand1DR-20210513,joule,324.968569019298,309.86213684082,320.21636270278,1.03182611710347,0.966915837233694,1.02688642909702,1.02183210570969
87,jou-cmand1DR-20210517,joule,327.151032856532,332.767258130799,329.945893968855,0.97765451009117,0.998418922876187,1.01726914016334,0.964160085476226
88,jou-cmand1DR-20210518,joule,317.009787126021,315.139734534544,327.938522611346,1.00017545488305,1.02020737431969,1.09354364503303,0.931825671058755
89,dar-cmand1DR-20210521,darwin,362.554397155989,376.997152794097,383.375303876912,1.15745121438282,0.992464596367557,1.1128813794561,0.946463833180982
90,dar-cmand1DR-20210522,darwin,396.657924903067,396.281174487538,384.076147403532,1.18654886025205,1.02999353768095,1.13820297053263,0.90258568579916
91,dar-cmand1DR-20210524,darwin,372.077241128321,377.943734059463,371.706264624324,1.15448912898656,0.991804980506007,1.12294488513747,0.868248509591066
92,dar-cmand1DR-20210525,darwin,361.691928722642,384.870315209413,348.887475721675,1.10430222541352,1.00075713731043,1.07505618213849,0.779296588929555
93,dar-cmand1DR-20210528,darwin,387.610916821462,372.000171713633,352.230187618371,1.16918839061164,1.10872722814789,1.10390967853383,0.866302247319627
94,dar-cmand1DR-20210603,darwin,401.361661522012,397.969269146353,391.468383128347,1.20117707185667,0.960817675312816,1.09490904068085,0.926428225417568
95,jou-cmand1DR-20210607,joule,329.484644689058,323.974451090452,334.515659521658,1.00304198746617,0.941750245337669,1.01927066520044,1.01617089921443
96,dar-cmand1DR-20210607,darwin,393.377750347822,382.536737071494,383.224816055772,1.16017284199299,0.997457964083078,1.15785294543114,0.905815930400096
97,jou-cmand1DR-20210608,joule,292.584916378589,302.137365924798,308.110615102256,0.992228383378737,0.957590596801339,1.12883804795159,0.988489220593151
98,jou-cmand1DR-20210610,joule,303.763024560336,305.637227015549,314.895583948958,1.05583357302269,0.95771705916968,1.06848241053711,0.987529335332342
99,dar-cmand1DR-20210610,darwin,390.213800359655,379.015814605637,377.256603308127,1.17868454240646,0.969872766922057,1.11604895118341,0.921599738636032
100,jou-cmand1DR-20210611,joule,310.401673152529,310.547126198134,309.088195815231,1.04480878322646,0.940431794735078,1.00204693244381,0.95385608651597
101,dar-cmand1DR-20210611,darwin,380.27313493547,360.4710930044,358.696155333787,1.26667583112492,0.973275320903266,1.1450511922688,0.871190952039797
102,dar-cmand1DR-20210612,darwin,371.322199772221,370.077951257581,366.354760557118,1.19420356127806,1.02650242833232,1.11985054821229,0.937716506940701
103,jou-cmand1DR-20210613,joule,325.059646012767,335.158948965006,345.145904606786,0.951724314119287,0.881839202070538,1.00084670927815,1.00602262927025
104,dar-cmand1DR-20210613,darwin,353.789444153125,358.283236799904,341.552164243615,1.14109006460341,0.994935424187763,1.05501835160774,0.869806142454094
105,jou-cmand1DR-20210614,joule,329.508488376935,327.019952861956,334.220755531127,0.97029242127438,0.988269516578398,1.03462527768331,1.01689950477358
106,dar-cmand1DR-20210614,darwin,363.182423576232,364.549991747016,359.72703885341,1.17833487671282,0.975837540409703,1.17060808069013,0.90391947110899
107,jou-cmand1DR-20210615,joule,303.119642719342,301.849679213304,308.762782103532,1.0196691930891,0.996104677217509,1.04726261638744,0.959902649060753
108,jou-cmand1DR-20210616,joule,316.497483979101,320.038176384293,336.895152850029,0.988667609728856,0.984167515444715,1.0641180443142,1.03685776473657
109,dar-cmand1DR-20210616,darwin,383.916350895773,370.696182586909,365.911951984268,1.24330877698595,0.995903051937882,1.09551932688701,0.891962005795974
110,dar-cmand1DR-20210617,darwin,396.272689382607,369.11343455147,367.75039967304,1.27885668590688,1.06423559155895,1.20762362778586,0.928342335372768
112,dar-cmand1DR-20210618,darwin,381.567246458504,372.884736804787,372.780355959307,1.18968557286493,0.972490652977631,1.14251937402982,0.884034778307303
116,dar-cmand1DR-20210621,darwin,395.389365183341,384.712087147831,390.336505572001,1.20568756416178,1.09216091463212,1.22409144049874,0.907726502985482
117,dar-cmand1DR-20210622,darwin,393.663151697679,393.754512456652,382.253252941629,1.12350175132077,0.978908710334627,1.17247304485683,0.907338892458964
1,eulsef20120904c-01,Euler,330.810810810811,290.84693877551,369.060240963855,1.15936418971084,1.42178197574593,1.40375306677276,1.60554298810888
2,eulsef20120905c-01,Euler,342.053333333333,300,357.835820895522,1.2267709450808,1.12269090513253,1.56606839334786,1.0716728979397
3,eulsef20120906e-01,Euler,350.298850574713,337.442105263158,357.976470588235,1.37395568470759,0.829859853515232,1.60529661421989,0.872889394801745
4,eulsef20120907c-01,Euler,327.646341463415,307.55023923445,384.902173913043,1.13330189124181,0.960270370599517,1.75258561181308,0.845849816756499
5,eulsef20120908c-01,Euler,354.701030927835,290.58371040724,365.132653061225,1.24787252502206,1.14326802612288,1.50673838857077,1.13949420231907
6,eulsef20120909c-01,Euler,305.898734177215,275.939189189189,371.247422680412,1.18620002405374,0.814922915731178,2.25774812785792,0.647794741306192
7,xensef20120326b-01,Xena,270.305555555556,283.948905109489,340.223880597015,0.95652085390559,1.03862645165145,1.41455141452291,1.41928243496004
8,xensef20120327b-01,Xena,289.620689655172,273.768,335.797297297297,1.13267513578201,0.951204783786968,1.55137910798122,1.04406150583245
9,xensef20120403c-01,Xena,273.208333333333,258.263888888889,345.460317460317,1.21207759024004,1.1753266373371,1.75237249804493,1.41512040803151
