sessionN,session,monkey,noncanc_hi,noncanc_lo,nostop_hi,nostop_lo,hiFlag,hiDiff,loFlag,loDiff,both,nostop_val,noncanc_val,ssrtDiff,ssrtHigh,ssrtLow
30,dar-cmand1DR-20201229,darwin,281.681895256042,347.668528556824,333.701133728027,379.002809524536,1,-52.0192384719849,1,-31.3342809677124,1,-45.3016757965088,-65.9866333007813,5.54050288187491,136.012901829238,130.472398947363
31,dar-cmand1DR-20201231,darwin,308.162689208984,364.339113235474,345.005989074707,379.002809524536,1,-36.8432998657227,1,-14.6636962890625,1,-33.9968204498291,-56.1764240264893,1.1869195881757,144.405607064011,143.218687475836
32,dar-cmand1DR-20210102,darwin,309.985399246216,365.97752571106,357.294082641602,393.011093139648,1,-47.3086833953857,1,-27.0335674285889,1,-35.7170104980469,-55.9921264648438,-12.5705734366026,120.112774600721,132.683348037324
33,jou-cmand1DR-20210103,joule,235.33570766449,328.007698059082,236.011505126953,354.345083236694,1,-0.675797462463379,1,-26.3373851776123,1,-118.333578109741,-92.6719903945923,-15.1535394896225,58.9248885693757,74.0784280589982
34,dar-cmand1DR-20210103,darwin,280.699014663696,355.368852615356,327.311277389526,378.839015960693,1,-46.6122627258301,1,-23.4701633453369,1,-51.527738571167,-74.6698379516602,8.48737093773516,137.231304859504,128.743933921769
35,jou-cmand1DR-20210104,joule,233.676671981812,321.331143379211,238.694429397583,350.658655166626,1,-5.01775741577148,1,-29.3275117874146,1,-111.964225769043,-87.6544713973999,9.16355239007537,101.064572196374,91.9010198062982
36,jou-cmand1DR-20210105,joule,233.820199966431,317.358016967773,234.352707862854,354.836463928223,1,-0.53250789642334,1,-37.4784469604492,1,-120.483756065369,-83.5378170013428,-35.7088553060746,110.913491713262,146.622347019337
37,dar-cmand1DR-20210105,darwin,277.012586593628,339.988470077515,320.655345916748,375.869512557983,1,-43.6427593231201,1,-35.8810424804688,1,-55.2141666412354,-62.9758834838867,9.42674394909864,140.720044776844,131.293300827746
38,dar-cmand1DR-20210107,darwin,288.727045059204,346.357703208923,345.497608184814,402.513861656189,1,-56.7705631256104,1,-56.1561584472656,1,-57.0162534713745,-57.6306581497192,-9.12056973559706,125.1036721569,134.224241892497
39,dar-cmand1DR-20210109,darwin,318.812131881714,369.520664215088,363.683700561523,399.503469467163,1,-44.8715686798096,1,-29.9828052520752,1,-35.8197689056396,-50.708532333374,7.87017194392683,125.554618543508,117.684446599581
40,jou-cmand1DR-20210110,joule,234.987497329712,317.665338516235,237.322092056274,333.332419395447,1,-2.3345947265625,1,-15.6670808792114,1,-96.0103273391724,-82.6778411865234,60.2206614115974,127.707771237425,67.4871098258279
41,dar-cmand1DR-20210110,darwin,286.515116691589,376.012802124023,343.039989471436,401.325941085815,1,-56.5248727798462,1,-25.313138961792,1,-58.2859516143799,-89.4976854324341,21.293585680689,138.65622153649,117.362635855801
42,dar-cmand1DR-20210111,darwin,281.026601791382,356.679677963257,342.015981674194,396.288156509399,1,-60.9893798828125,1,-39.6084785461426,1,-54.2721748352051,-75.653076171875,13.3190302368046,132.387289521414,119.06825928461
43,dar-cmand1DR-20210112,darwin,354.304075241089,370.974779129028,385.351657867432,404.029369354248,1,-31.0475826263428,1,-33.0545902252197,1,-18.6777114868164,-16.6707038879395,1.9128141520701,141.892073180649,139.979259028579
44,dar-cmand1DR-20210114,darwin,329.666495323181,377.979040145874,366.305232048035,411.033630371094,1,-36.6387367248535,1,-33.0545902252197,1,-44.7283983230591,-48.3125448226929,-9.6762114721642,127.667923118678,137.344134590843
45,dar-cmand1DR-20210115,darwin,332.513213157654,402.30917930603,374.005794525146,422.993898391724,1,-41.4925813674927,1,-20.6847190856934,1,-48.9881038665771,-69.7959661483765,-12.3206947985902,115.873901975667,128.194596774257
46,jou-cmand1DR-20210116,joule,224.993228912354,309.329986572266,229.990482330322,311.992168426514,1,-4.99725341796875,1,-2.66218185424805,1,-82.0016860961914,-84.3367576599121,19.475053429369,133.642085965208,114.167032535839
47,dar-cmand1DR-20210116,darwin,317.009925842285,386.4985704422,359.506011009216,405.504107475281,1,-42.4960851669312,1,-19.0055370330811,1,-45.9980964660645,-69.4886445999146,54.7400844638701,139.165801850576,84.4257173867061
48,jou-cmand1DR-20210118,joule,236.994624137878,320.02067565918,231.301069259644,348.999619483948,0,5.69355487823486,1,-28.9789438247681,0,-117.698550224304,-83.0260515213013,1.3465595206251,64.8819132392583,63.5353537186332
49,dar-cmand1DR-20210120,darwin,332.841038703918,378.859519958496,382.689237594604,408.002614974976,1,-49.848198890686,1,-29.1430950164795,1,-25.3133773803711,-46.0184812545776,-7.23059903450824,119.608137961066,126.838736995574
50,jou-cmand1DR-20210204,joule,227.696657180786,327.311277389526,234.004378318787,333.312034606934,1,-6.30772113800049,1,-6.00075721740723,1,-99.307656288147,-99.6146202087402,-38.5342820326475,61.8970353138911,100.431317346539
51,dar-cmand1DR-20210211,darwin,304.005146026611,358.031511306763,349.511742591858,394.670009613037,1,-45.5065965652466,1,-36.6384983062744,1,-45.1582670211792,-54.0263652801514,11.8344706854935,129.379280719882,117.544810034388
52,dar-cmand1DR-20210213,darwin,348.323822021484,369.663953781128,380.026817321777,394.69051361084,1,-31.702995300293,1,-25.0265598297119,1,-14.6636962890625,-21.3401317596436,-18.2500062765094,117.745164214381,135.99517049089
53,dar-cmand1DR-20210223,darwin,342.99898147583,382.033824920654,363.683938980103,402.513980865479,1,-20.6849575042725,1,-20.4801559448242,1,-38.830041885376,-39.0348434448242,-9.77007836465305,137.410665182543,147.180743547196
54,dar-cmand1DR-20210225,darwin,352.645039558411,385.003447532654,381.337523460388,422.154188156128,1,-28.6924839019775,1,-37.1507406234741,1,-40.8166646957397,-32.3584079742432,17.720609759886,136.832462169312,119.111852409426
55,dar-cmand1DR-20210301,darwin,318.709850311279,378.30638885498,354.365348815918,402.984857559204,1,-35.6554985046387,1,-24.6784687042236,1,-48.6195087432861,-59.5965385437012,26.3126863919304,165.964175124303,139.651488732372
56,jou-cmand1DR-20210302,joule,229.990482330322,330.854296684265,234.332084655762,347.996234893799,1,-4.34160232543945,1,-17.1419382095337,1,-113.664150238037,-100.863814353943,-6.1476189525184,221.840842745521,227.988461698039
57,dar-cmand1DR-20210304,darwin,356.515765190125,375.009298324585,389.32466506958,410.992622375488,1,-32.8088998794556,1,-35.9833240509033,1,-21.6679573059082,-18.4935331344604,4.38988908163061,129.236657891719,124.846768810088
58,dar-cmand1DR-20210306,darwin,319.037437438965,403.68115901947,355.696678161621,411.975741386414,1,-36.6592407226563,1,-8.29458236694336,1,-56.2790632247925,-84.6437215805054,18.2109489370623,143.15670634761,124.945757410548
59,jou-cmand1DR-20210311,joule,234.987497329712,355.368852615356,238.714933395386,392.683506011963,1,-3.72743606567383,1,-37.3146533966064,1,-153.968572616577,-120.381355285645,46.5211349027938,168.228000330638,121.706865427844
60,jou-cmand1DR-20210312,joule,234.700679779053,309.002161026001,242.032527923584,379.330396652222,1,-7.33184814453125,1,-70.3282356262207,1,-137.297868728638,-74.3014812469482,5.96457586978794,86.8372966808901,80.8727208111021
61,dar-cmand1DR-20210313,darwin,309.350371360779,344.678401947021,352.993249893188,390.000700950623,1,-43.6428785324097,1,-45.3222990036011,1,-37.0074510574341,-35.3280305862427,28.0314129978155,156.69513488638,128.663721888564
62,dar-cmand1DR-20210314,darwin,321.003437042236,374.005794525146,370.176076889038,411.975622177124,1,-49.1726398468018,1,-37.9698276519775,1,-41.7995452880859,-53.0023574829102,8.86319127169924,139.702732383707,130.839541112008
63,dar-cmand1DR-20210315,darwin,316.006422042847,377.016305923462,359.342098236084,399.646759033203,1,-43.3356761932373,1,-22.6304531097412,1,-40.3046607971191,-61.0098838806152,28.0047309468586,116.518486154688,88.5137552078294
64,jou-cmand1DR-20210316,joule,258.314371109009,283.320307731628,273.0393409729,305.684566497803,1,-14.7249698638916,1,-22.3642587661743,1,-32.6452255249023,-25.0059366226196,2.81802519128743,94.0223036291393,91.2042784378518
65,dar-cmand1DR-20210317,darwin,308.817982673645,404.971599578857,356.720447540283,429.014921188354,1,-47.9024648666382,1,-24.0433216094971,1,-72.2944736480713,-96.1536169052124,9.01689809871678,138.404880487983,129.387982389266
66,jou-cmand1DR-20210319,joule,280.985593795776,379.514932632446,289.361953735352,418.32447052002,1,-8.3763599395752,1,-38.8095378875732,1,-128.962516784668,-98.5293388366699,36.1975981713205,156.630165545971,120.432567374651
67,dar-cmand1DR-20210321,darwin,265.994191169739,379.986047744751,308.85899066925,413.511633872986,1,-42.8647994995117,1,-33.5255861282349,1,-104.652643203735,-113.991856575012,-23.9118097909304,110.430324994601,134.342134785531
68,jou-cmand1DR-20210322,joule,267.30489730835,376.299619674683,269.353032112122,401.325941085815,1,-2.04813480377197,1,-25.0263214111328,1,-131.972908973694,-108.994722366333,26.87622197371,146.775583188105,119.899361214395
69,jou-cmand1DR-20210325,joule,287.846326828003,377.323627471924,284.016847610474,415.006637573242,0,3.8294792175293,1,-37.6830101013184,0,-130.989789962769,-89.4773006439209,86.426317981453,189.631495076654,103.205177095201
70,dar-cmand1DR-20210328,darwin,272.015333175659,386.990070343018,290.344953536987,417.013883590698,1,-18.3296203613281,1,-30.0238132476807,1,-126.668930053711,-114.974737167358,1.68491000830147,131.72327236635,130.038362358049
71,jou-cmand1DR-20210329,joule,292.986869812012,375.029802322388,297.000885009766,408.985376358032,1,-4.01401519775391,1,-33.9555740356445,1,-111.984491348267,-82.042932510376,41.2668729239023,220.651157530781,179.384284606878
72,jou-cmand1DR-20210409,joule,256.860136985779,297.021389007568,256.00004196167,328.703880310059,0,0.860095024108887,1,-31.6824913024902,0,-72.7038383483887,-40.1612520217896,32.9690258220069,102.615249700214,69.6462238782073
73,jou-cmand1DR-20210410,joule,269.680738449097,359.014272689819,276.029586791992,381.993055343628,1,-6.34884834289551,1,-22.9787826538086,1,-105.963468551636,-89.3335342407227,55.5186291381181,115.720858911762,60.2022297736442
